Time;U_t;V_t
2.63;-0.18851392852935334;-5.375669857242914
2.6350000000000002;-0.21410119552695595;-4.8489662421558934
2.64;-0.2369067792201549;-4.264199082125317
2.645;-0.2566589539659116;-3.628913161937156
2.65;-0.27312525120005743;-2.9512489787397267
2.6550000000000002;-0.2861151774731367;-2.2398387217457323
2.66;-0.29548240225023314;-1.5036965024995124
2.665;-0.30112638325419605;-0.7521043508391608
2.67;-0.3029934154876234;0.005504663387223441
2.6750000000000003;-0.30107708998878235;0.7596645146332812
2.68;-0.295418164739399;1.500994457500173
2.685;-0.28610384474717965;2.2203154258346847
2.69;-0.2732664890799211;2.9087635343157485
2.695;-0.25708175998699706;3.557899095965992
2.7;-0.23776624085172618;4.159809884460655
2.705;-0.2155745555237547;4.707207338068166
2.71;-0.19079602700103673;5.19351462930839
2.715;-0.16375091654409932;5.6129453988682965
2.72;-0.1347862944918119;5.960572264068999
2.725;-0.10427160543969272;6.232384713092683
2.73;-0.0725939452945126;6.4253343417086635
2.735;-0.04015317943654498;6.537369066084032
2.74;-0.0073568962245258735;6.567454108143712
2.745;0.025384705257515343;6.515580315344728
2.75;0.05766393848177172;6.3827596979092975
2.755;0.08908069611399377;6.171008276273775
2.7600000000000002;0.11924740183982448;5.883316485850423
2.765;0.14779378328663773;5.523607565726139
2.77;0.17437140833700482;5.096684517711408
2.775;0.19865792842630023;4.608166341008802
2.7800000000000002;0.2203609785531067;4.06441438062936
2.785;0.23922168587508824;3.4724497638919654
2.79;0.2550177453100162;2.839862992504871
2.795;0.26756602904773624;2.1747167425091405
2.8000000000000003;0.27672468764803443;1.4854434371012315
2.805;0.28239473687775507;0.780738483084031
2.81;0.2845210997932146;0.06945072900911381
2.815;0.2830930963332929;-0.6395284432438001
2.82;0.27814437844370676;-1.3373760937167871
2.825;0.2697523126256146;-2.0154473353785414
2.83;0.25803682120211185;-2.6653822546854835
2.835;0.24315869808420232;-3.2792087888831136
2.84;0.22531742373306482;-3.849440331248958
2.845;0.20474850639718525;-4.369166832114625
2.85;0.1817203876625985;-4.832138327766018
2.855;0.1565309490183256;-5.232839802707549
2.86;0.1295036775239044;-5.566556861911347
2.865;0.1009835058168106;-5.829430522857762
2.87;0.0713324306947771;-6.01850170000642
2.875;0.04092492467581495;-6.131744069065849
2.88;0.010143213715689464;-6.1680850979659985
2.8850000000000002;-0.0206275199749373;-6.127415154340838
2.89;-0.051003949577235974;-6.010584583882925
